DOSBase V.1.5 BETA Generated List
(C)2000 Clint Kennedy.  All Rights Reserved.

Total Tracks Listed: 589

Title                                             Artist
-----                                             ------
1,2,3,4 Sumpin' New (Timber Mix)                  Coolio
100% Pure Love                                    Crystal Waters
26 Cents                                          The Wilkinsons
3am                                               Matchbox 20
6 Underground                                     Sneaker Pimps
9 To 5                                            Dolly Parton
A Better Man                                      All 4 One
A Change                                          Sheryl Crow
A Letter To Elise                                 The Cure
A Little More Time On You                         N'Sync
A Whole New World                                 Peabo Bryson & Regina Belle
A Wink And A Smile                                Harry Connick Jr
Again                                             Janet Jackson
Aida                                              Sarah Mclachlan
Alive                                             Pearl Jam
All I Wanna Do                                    Sheryl Crow
All My Life                                       K-Ci & JoJo
All Star                                          Smash Mouth
All That She Wants                                Ace Of Base
Almost Doesn't Count                              Brandy
Always                                            Bon Jovi
Always Be My Baby                                 Mariah Carey
Always Coca-Cola                                  Joey Diggs
Amazing                                           Aerosmith
Angel                                             Aerosmith
Angel                                             Sarah McLachlan
Angel Of Mine                                     Monica
Angelia                                           Richard Marx
Another Night                                     Real McCoy
Any Man Of Mine                                   Shania Twain
Are You That Somebody                             Aaliyah
Around The World                                  Daft Punk
As Long As You Love Me                            Backstreet Boys
Baby Got Back                                     Sir MixaLot
Baby One More Time                                Britney Spears
Baby You Are                                      Uncle Sam
Back In Black                                     ACDC
Back To Life                                      Soul To Soul
Bad Boys                                          Inner Circle
Bad To The Bone                                   George Thorogood
Bad Touch                                         Blood Hound Gang
Barbie Girl                                       Aqua
Basket Case                                       Green Day
Be My Lover                                       LaBouche
Beat It                                           Michael Jackson
Because You Loved Me                              Celine Dion
Believe                                           Cher
Better Days                                       Citizen King
Between You And Me                                D.C. Talk
Beverly Hills Cop Theme                           Harold Faltermeyer
Big Me                                            Foo Fighters
Black Hole Sun                                    Sound Garden
Black Or White                                    Michael Jackson
Block Rockin' Beats                               Chemical Brothers
Blue (Da Da Dee)                                  Eiffel 65
Bluebird                                          Charlie Parker
Boom, Shake The Room                              Fresh Prince & DJ Jazzy Jeff
Boot Scootin' Boogie                              Brooks & Dunn
Boys Of Summer                                    Don Henley
Brand New Man                                     Brooks & Dunn
Breakdown                                         Mariah Carey & Bone Thugs-N-Harmony
Breaking All The Rules                            She Moves
Breaking All The Rules (Remix)                    She Moves
Breathe                                           Prodigy
Brick                                             Ben Folds Five
Bring It All To Me                                Blaque Feat. N 'Sync
Broken Wings                                      Mr. Mister
Building A Mystery                                Sarah McLachlan
Bullet With Butterfly Wings                       Smashing Pumpkins
Bulls On Parade                                   Rage Against The Machine
Bust A Move                                       Young MC
Butterfly                                         Mariah Carey
Butterfly Kisses                                  Bob Carlisle
C'mon Ride the Train                              Quad City D.J.s
California Love                                   2Pac & Dr. Dre
Can I Get A (Edited)                              Jay-Z
Can I Get A...                                    Jay-Z
Can You Feel The Love Tonight                     Elton John
Can't Get Enough Of You Baby                      Smashmouth
Candy                                             Cameo
Carried Away                                      George Strait
Cats In The Cradle                                Ugly Kid Joe
Celebration                                       Kool And The Gang
Chances Are                                       Bob Seger & Martina McBride
Change The World                                  Eric Clapton
Changes                                           2pac
Chante's Got A Man                                Chante Moore
Chasin' That Neon Rainbow                         Alan Jackson
Cherry Pie                                        Warrant
Closer                                            Nine Inch Nails
Closing Time                                      Semisonic
Come And Get Your Love                            Real McCoy
Come Out And Play                                 Offspring
Come To Butthead                                  Beavis And Butthead
Connected                                         Stereo MC's
Cotton Eye Joe                                    Rednex
Country Grammar                                   Nelly
Cowboy                                            Kid Rock
Cowboys From Hell                                 Pantera
Crash Into Me                                     Dave Matthews Band
Crazy                                             Britney Spears
Creep                                             TLC
Criminal                                          Fiona Apple
Crossroads                                        Bone Thugs-N-Harmony
Cruel Summer                                      Ace Of Base
Cruel Summer (Remix)                              Ace Of Base
Crush                                             Dave Matthews Band
Crush                                             Jennifer Paige
Cryin'                                            Aerosmith
Cumbersome                                        Seven Mary 3
D'You Know What I Mean                            Oasis
Danger Zone                                       Kenny Loggins
Date Rape                                         Sublime
Daughter                                          Pearl Jam
December                                          Collective Soul
Deep Deep Trouble                                 The Simpsons
Did I Shave My Legs For This                      Deana Carter
Didn't We Almost Have It All                      Whitney Houston
Disarm                                            Smashing Pumpkins
Do The Bartman                                    The Simpsons
Do You Know                                       Robyn
Don't Go Away                                     Oasis
Don't Let Go                                      En Vogue
Don't Speak                                       No Doubt
Don't Turn Around                                 Ace Of Base
Don't Worry, Be Happy                             Bobby Mcferrin
Down                                              311
Down With Disease                                 Phish
Dre Day                                           Dr. Dre
Dreaming Of You                                   Selena
Drive My Car                                      The Beatles
Dude Looks Like A Lady                            Aerosmith
E.I.                                              Nelly
Early In The Morning                              The Gap Band
End Of The Road                                   Boyz 2 Men
Endless Love                                      Diana Ross & Lionel Richie
Enjoy The Silence                                 Depeche Mode
Enter Sandman                                     Metallica
Epic                                              Faith No More
Every Breath You Take                             The Police
Every Little Thing I Do                           Soul 4 Real
Every Morning                                     Sugar Ray
Everybody                                         Backstreet Boys
Everybody Have Fun Tonight                        Wang Chung
Everyday Is A Winding Road                        Sheryl Crow
Everything I Do I Do For You                      Bryan Adams
Express Yourself                                  Madonna
Faded                                             Soul Decision
Faithfully                                        Journey
Fast Car                                          Tracy Chapman
Fast Love                                         George Michael
Feels So Good                                     Chuck Mangione
Feels So Good                                     Mase
Flagpole Sitta                                    Harvey Danger
Foolish Beat                                      Debbie Gibson
Foolish Games                                     Jewel
For You I Will                                    Monica
Forever And Ever, Amen                            Randy Travis
Forever In Love                                   Kenny G
Fortunate                                         Maxwell
Fortunate Sun                                     Creedence Clearwater Revival
Freak Me                                          Silk
Freak On A Leash (Freakin' Bitch Remix)           Korn
Freebird                                          Lynyrd Skynyrd
Freshman (Acoustic Version)                       The Verve Pipe
Friday I'm In Love                                The Cure
Friends In Low Places                             Garth Brooks
Frozen                                            Madonna
Funky Cold Medina                                 Tone Loc
Genie In A Bottle                                 Christina Aguilera
Get Outta My Dreams, Get Into My Car              Billy Ocean
Gettin' Jiggy Wit It                              Will Smith
Ghetto Superstar                                  Pras Featuring Ol' Dirty Bastard & Mya
Girl I've Been Hurt                               Snow
Give It To You                                    Jordan Knight
Give Me One Reason                                Tracy Chapman
Give Up Da Ghost                                  Immature & Bizzy
Giving You My Heart Forever                       All 4 One
Go Deep                                           Janet Jackson
God Bless The U.S.A.                              Lee Greenwood
God Is A DJ                                       Faithless
Going Back To Cali                                LL Cool J
Going The Distance                                Cake
Gone Country                                      Alan Jackson
Good Times                                        Chic
Good Vibrations                                   Marky Mark & The Funky Bunch
Goodbye Earl                                      Dixie Chicks
Got My Mind Set On You                            George Harrison
Gotta Tell You                                    Samantha Mumba
Great Balls Of Fire                               Jerry Lee Lewis
Groove Is In The Heart                            Deelite
Guilty Conscience                                 Eminem Feat. Dr. Dre
Hair Of The Dog                                   Nazareth
Hands                                             Jewel
Hangin' Tough                                     New Kids On The Block
Happily Ever After                                Case
Hard Knock Life                                   Jay Z
Hard To Handle                                    Black Crowes
Have You Ever                                     Brandy
He Loves U Not                                    Dream
He Wasn't Man Enough                              Toni Braxton
He's Got You                                      Brooks & Dunn
Heads Carolina, Tails California                  Jo Dee Messina
Heal The World                                    Michael Jackson
Heart Shaped Box                                  Nirvana
Heartbreak Hotel                                  Whitney Houston Feat. Faith Evans
Here Comes The Hot Stepper                        Ini Kamoze
Here We Go (Extended Remix)                       C&C Music Factory
Here's Your Sign                                  Bill Engvall & Travis Tritt
Hey  Leonardo (She Likes Me For Me)               Blessid Union Of Souls
Hey Jealousy                                      Gin Blossoms
Hey Jude                                          Beatles
High And Dry                                      Radiohead
Hip Hop Hooray                                    Naughty By Nature
Hold On                                           Jamie Walters
Hold On                                           Wilson Phillips
Holes In The Floor Of Heaven                      Steve Wariner
Honey                                             Mariah Carey
Hotel California                                  The Eagles
Hound Dog                                         Elvis
How Bizarre                                       OMC
How Do I Deal                                     Jennifer Love Hewitt
How Do I Live                                     Leann Rimes
How's It Going To Be                              Third Eye Blind
I Believe                                         Blessed Union of Souls
I Believe I Can Fly                               R. Kelly
I Can Love You Better                             Dixie Chicks
I Can Love You Like That                          All 4 One
I Can Love You Like That                          John Michael Montgomery
I Can't Fight This Feeling                        REO Speedwagon
I Do                                              Lisa Loeb
I Do (Cherish You)                                98 Degrees
I Don't Wanna Miss A Thing                        Aerosmith
I Don't Wanna Wait                                Paula Cole
I Don't Want To Miss A Thing                      Mark Chestnutt
I Feel Good                                       James Brown
I Get Around                                      Tupac
I Got You Babe                                    Cher & Beavis And Butthead
I Just Want To Dance With You                     George Strait
I Only Feel This Way                              Rick Trevino
I Still Believe                                   Mariah Carey
I Swear                                           All 4 One
I Think We're Alone Now                           Tiffany
I Try                                             Marcy Gray
I Wanna Be Down                                   Brandy
I Wanna Dance With Somebody                       Whitney Houston
I Wanna Fall In Love                              Lila McCann
I Wanna Know                                      Joe Wood
I Want You Back                                   'N Sync
I Will Always Love You                            Whitney Houston
I Would Walk 500 Miles                            The Proclaimers
I'll Be                                           Edwin McCain
I'll Be (Radio Version)                           Edward McCain
I'll Be Missing You                               Puff Daddy
I'll Make Love To You                             Boyz 2 Men
I'll Never Break Your Heart                       Backstreet Boys
I'll Stick Around                                 Foo Fighters
I'll Take You There                               General Public
I'm Sorry                                         All 4 One
I'm Too Sexy                                      Right Said Fred
I'm Your Angel                                    R. Kelly & Celine Dion
I'm Your Man                                      All 4 One
I've Had The Time Of My Life                      Bill Medley & Jennifer Warnes
Ice Ice Baby                                      Vanilla Ice
If                                                Janet Jackson
If You Could Only See                             Tonic
If You Had My Love                                Jennifer Lopez
Imagine That                                      Diamond Rio
In Bloom                                          Nirvana
In The Air Tonight                                Phil Collins
In The Still Of The Nite                          Boyz To Men
Independent Women Part 1                          Destiny's Child
Informer                                          Snow
Insensitive                                       Jann Arden
Inside Out                                        Eve 6
Intergalactic                                     The Beastie Boys
Into The Groove                                   Madonna
Iris                                              Goo Goo Dolls
It Takes Two                                      Rob Base & D.J. E-Z Rock
It Takes Two (Remix)                              Rob Base & DJ E-Z Rock
It's All About The Benjamins (Rock Remix)         Puff Daddy
It's Gonna Be Me                                  N 'Sync
It's Midnight Cinderella                          Garth Brooks
It's Not Right But It's Okay                      Whitney Houston
Jailhouse Rock                                    Elvis
James Bond 97                                     Moby
Jane Says (Live)                                  Jane's Addiction
Jealousy                                          Gin Blossoms
Jealousy                                          Natalie Merchant
Jellyhead                                         Crush
Jesus Freak                                       DC Talk
Johnny Be Good                                    Michael J Fox
Jump                                              Van Halen
Jump (Extended Remix)                             Kriss Kross
Jump Around                                       House Of Pain
Jump Right In                                     The Urge
Jump, Jive An' Wail                               Brian Setzer Orchestra
Jumpin Jumpin                                     Destiny's Child
Just A Freak                                      Crystal Waters & Dennis Rodman
Just A Girl                                       No Doubt
Just Cruisin'                                     Will Smith
Just The Two Of Us                                Will Smith
Just To See You Smile                             Tim McGraw
Justify My Love                                   Madonna
Keep Their Heads Ringin'                          Dr. Dre
Kiss From A Rose                                  Seal
Kiss Me                                           Sixpence None The Richer
La Bamba                                          Los Lobos
Land Of 1000 Dances                               Wilson Pickett
Larger Than Life                                  Backstreet Boys
Lately                                            Divine
Lean On Me                                        Club Nouveau
Let's Make A Night To Remember                    Bryan Adams
Let's Ride                                        Montell Jordan
Let's Stay Together                               Tina Turner
Let's Twist Again                                 Chubby Checker
Like The Rain                                     Clint Black
Linger                                            Cranberries
Little Red Rodeo                                  Collin Raye
Livin La Vida Loca                                Ricky Martin
Livin' On The Edge                                Aerosmith
Llama                                             Phish
Lollipop (Candyman)                               Aqua
Long December                                     Counting Crows
Longneck Bottle                                   Garth Brooks
Look At Little Sister                             Stevie Ray Vaughan
Love Of A Lifetime                                Firehouse
Love Shack                                        B-52s
Love Song                                         The Cure
Love You Down                                     INOJ
